cpu_usage,memory_usage,bandwidth_usage,packet_loss,network_load,active_users,request_rate,instance_count,time_of_day,is_peak_hour,latency,jitter,throughput,qos_status
83.52,75.62,70.95,0.81,51.24,580,1013.32,2,3,0,101.46,16.77,90.55,Warning
80.02,99.81,92.35,4.03,80.14,944,1574.74,3,9,1,160.63,43.48,51.59,Critical
66.47,84.41,66.34,2.22,72.21,578,658.55,5,13,0,96.64,29.7,88.29,Warning
58.66,67.33,51.2,2.32,55.35,609,1279.83,3,5,0,95.74,25.8,80.44,Warning
47.9,37.99,27.78,0.93,39.09,290,107.52,6,7,0,42.43,14.74,133.36,Good
92.14,81.9,85.93,2.91,80.31,608,1863.35,3,10,1,153.68,38.17,58.09,Critical
92.12,98.16,93.02,4.79,97.0,867,1598.54,3,22,0,175.62,49.09,33.89,Critical
66.49,84.01,79.71,1.94,54.44,647,1044.42,2,14,0,113.78,24.77,77.62,Warning
11.41,45.46,24.15,0.51,46.3,250,316.75,5,3,0,31.81,13.0,125.85,Good
63.87,53.69,65.98,0.94,61.66,695,1085.41,3,22,0,90.89,19.83,96.07,Warning
20.26,37.08,46.81,0.86,10.28,156,365.14,3,18,1,41.85,12.12,111.78,Good
67.12,52.27,58.89,0.99,72.85,636,870.79,2,23,0,90.94,21.53,86.68,Warning
56.54,59.75,81.79,0.98,50.8,421,1003.0,3,22,0,91.17,21.3,94.55,Warning
73.97,72.17,68.75,0.68,78.41,373,1057.38,5,2,0,83.48,23.84,101.72,Warning
33.04,29.06,39.03,0.17,37.64,147,386.54,3,10,1,44.82,12.31,119.18,Good
91.1,88.24,84.84,2.73,97.94,636,1929.58,3,8,1,147.1,40.04,56.1,Critical
97.13,85.11,97.76,4.63,98.71,703,1763.86,3,15,0,169.95,44.48,51.36,Critical
61.73,74.93,58.3,1.15,74.86,633,1269.75,4,16,0,95.99,23.14,83.45,Warning
74.09,58.77,70.65,2.46,64.47,513,1168.02,3,20,1,131.41,31.4,68.44,Warning
63.42,50.85,72.59,0.85,82.62,295,1423.38,4,8,1,98.01,24.62,91.3,Warning
72.17,84.31,52.64,1.11,52.64,410,885.23,5,17,0,84.92,18.5,106.49,Warning
37.68,59.6,16.3,0.52,45.09,292,601.64,3,10,1,68.44,15.08,122.96,Good
28.89,30.25,37.52,0.08,10.21,55,568.89,3,7,0,35.29,7.1,121.2,Good
